"Name","Rank","TID","Max","ERR1398068","ERR1398076","ERR1398077","ERR1398078","ERR1398085","ERR1398089","ERR1398129","ERR1398168","ERR1398206","ERR1398221","ERR1398257","ERR1398263","Lineage"
"unclassified","U","0","186940","115369","100424","83039","88772","55431","80416","50779","115369","119824","186938","63799","113309","unclassified"
"root","-","1","42652","40449","32038","42652","35659","35630","39879","23775","40449","36358","40464","26108","39145","root"
"cellular organisms","-","131567","42632","40396","32013","42632","35649","35597","39875","23758","40396","36349","40445","26087","39132","root"
"Bacteria","D","2","42611","40358","31963","42611","35631","35589","39856","23752","40358","36306","40408","26081","39112","cellular organisms"
"FCB group","-","1783270","23265","15893","5803","20483","14224","14906","12103","9966","15893","17089","23265","13965","20890","cellular organisms>Bacteria"
"Bacteroidetes/Chlorobi group","-","68336","23258","15888","5795","20481","14220","14905","12099","9964","15888","17075","23258","13963","20884","cellular organisms>Bacteria>FCB group"
"Bacteroidetes","P","976","23228","15861","5771","20471","14213","14903","12089","9958","15861","17054","23228","13962","20873","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group"
"Bacteroidia","C","200643","23035","15764","5679","20336","14142","14789","12020","9884","15764","16831","23035","13899","20749","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes"
"Bacteroidales","O","171549","23030","15757","5676","20331","14139","14786","12019","9883","15757","16825","23030","13898","20745","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia"
"Terrabacteria group","-","1783272","15811","15811","13414","13259","14636","15048","15412","12723","15811","13547","13770","8054","11057","cellular organisms>Bacteria"
"Bacteroidaceae>Bacteroides","G","816","15279","10370","1213","15279","9065","10726","6387","3956","10370","8336","13373","10952","13474","cellular organisms>Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae"
"Firmicutes","P","1239","13918","12552","7075","9233","10596","13918","12268","10654","12552","8876","12551","7246","10206","cellular organisms>Bacteria>Terrabacteria group"
"Clostridia","C","186801","12910","11048","6628","8656","9391","12910","11443","10179","11048","7318","11550","5838","9221","cellular organisms>Bacteria>Terrabacteria group>Firmicutes"
"Clostridiales","O","186802","12893","11031","6616","8644","9373","12893","11428","10175","11031","7290","11517","5826","9206","cellular organisms>Bacteria>Terrabacteria group>Firmicutes>Clostridia"
"Proteobacteria","P","1224","11613","7542","11613","8114","5974","4191","11458","759","7542","4481","1898","3689","6342","cellular organisms>Bacteria"
