Sample ID	../MWA/H_ERR1398076/kraken/ERR1398076_kraken.out	../MWA/H_ERR1398077/kraken/ERR1398077_kraken.out	../MWA/H_ERR1398085/kraken/ERR1398085_kraken.out	../MWA/H_ERR1398168/kraken/ERR1398168_kraken.out	../MWA/H_ERR1398068/kraken/ERR1398068_kraken.out	../MWA/H_ERR1398221/kraken/ERR1398221_kraken.out	../MWA/NH_ERR1398129/kraken/ERR1398129_kraken.out	../MWA/NH_ERR1398206/kraken/ERR1398206_kraken.out	../MWA/NH_ERR1398263/kraken/ERR1398263_kraken.out	../MWA/NH_ERR1398078/kraken/ERR1398078_kraken.out	../MWA/NH_ERR1398257/kraken/ERR1398257_kraken.out	../MWA/NH_ERR1398089/kraken/ERR1398089_kraken.out
d__Viruses	3	2	4	3	3	5	0	0	2	5	5	1
d__Bacteria	31963	42611	35589	40358	40358	40408	23752	36306	39112	35631	26081	39856
d__Archaea	19	9	3	20	20	25	4	17	9	8	1	11
d__Bacteria|p__Proteobacteria	11613	8114	4191	7542	7542	1898	759	4481	6342	5974	3689	11458
d__Bacteria|p__Candidatus_Saccharibacteria	0	3	2	0	0	0	0	0	0	2	0	0
d__Bacteria|p__Fusobacteria	0	1	1098	1	1	4	1	6	8	3	48	6
d__Bacteria|p__Nitrospirae	4	2	0	1	1	2	0	2	3	0	1	0
d__Bacteria|p__Acidobacteria	13	10	2	14	14	17	0	20	8	5	5	4
d__Bacteria|p__Caldiserica	0	0	1	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Elusimicrobia	3	1	0	0	0	1	1	3	1	0	1	1
d__Bacteria|p__Aquificae	0	2	1	1	1	2	0	5	0	1	0	0
d__Bacteria|p__Thermotogae	2	1	1	7	7	6	0	5	2	0	2	4
d__Bacteria|p__Deferribacteres	0	0	0	0	0	2	0	0	1	2	1	0
d__Bacteria|p__Chrysiogenetes	4	3	0	2	2	4	0	5	3	5	0	0
d__Bacteria|p__Thermodesulfobacteria	0	0	1	0	0	0	0	0	1	0	1	0
d__Bacteria|p__Spirochaetes	17	20	14	19	19	28	8	38	24	21	8	13
d__Bacteria|p__Synergistetes	27	17	4	20	20	26	6	20	10	3	0	8
d__Bacteria|p__Verrucomicrobia	25	14	5	18	18	33	2	34	16	13	6	192
d__Bacteria|p__Kiritimatiellaeota	0	0	0	1	1	1	0	1	3	1	0	0
d__Bacteria|p__Planctomycetes	19	15	2	10	10	21	5	12	15	14	4	14
d__Bacteria|p__Chlamydiae	0	0	0	1	1	1	0	0	0	0	0	1
d__Bacteria|p__Fibrobacteres	6	2	1	3	3	5	2	8	6	4	2	3
d__Bacteria|p__Bacteroidetes	5771	20471	14903	15861	15861	23228	9958	17054	20873	14213	13962	12089
d__Bacteria|p__Chlorobi	22	9	2	25	25	30	5	17	11	6	1	10
d__Bacteria|p__Gemmatimonadetes	1	0	0	0	0	1	0	4	0	0	0	1
d__Bacteria|p__Firmicutes	7075	9233	13918	12552	12552	12551	10654	8876	10206	10596	7246	12268
d__Bacteria|p__Deinococcus-Thermus	44	28	4	37	37	41	5	30	22	19	1	8
d__Bacteria|p__Armatimonadetes	2	0	0	3	3	5	0	2	0	1	0	0
d__Bacteria|p__Chloroflexi	26	10	3	26	26	22	6	18	14	7	3	3
d__Bacteria|p__Actinobacteria	6076	3796	1016	2965	2965	852	1984	4413	633	3847	693	2944
d__Bacteria|p__Tenericutes	1	1	7	6	6	12	1	4	9	1	9	3
d__Bacteria|p__Cyanobacteria	28	17	4	16	16	36	5	29	18	21	7	18
d__Bacteria|p__Calditrichaeota	1	0	0	0	0	1	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota	18	8	3	19	19	23	4	16	8	7	1	10
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10317	7405	3957	6297	6297	449	436	2731	5568	5230	3414	10973
