Subsystem 3	H: mean rel. freq. (%)	H: std. dev. (%)	NH: mean rel. freq. (%)	NH: std. dev. (%)	p-values	p-values (corrected)	Difference between means	95.0% lower CI	95.0% upper CI	Note	ERR1398068	ERR1398068: parent seq. count	ERR1398068: rel. freq. (%)	ERR1398076	ERR1398076: parent seq. count	ERR1398076: rel. freq. (%)	ERR1398077	ERR1398077: parent seq. count	ERR1398077: rel. freq. (%)	ERR1398085	ERR1398085: parent seq. count	ERR1398085: rel. freq. (%)	ERR1398168	ERR1398168: parent seq. count	ERR1398168: rel. freq. (%)	ERR1398221	ERR1398221: parent seq. count	ERR1398221: rel. freq. (%)	ERR1398078	ERR1398078: parent seq. count	ERR1398078: rel. freq. (%)	ERR1398089	ERR1398089: parent seq. count	ERR1398089: rel. freq. (%)	ERR1398129	ERR1398129: parent seq. count	ERR1398129: rel. freq. (%)	ERR1398206	ERR1398206: parent seq. count	ERR1398206: rel. freq. (%)	ERR1398257	ERR1398257: parent seq. count	ERR1398257: rel. freq. (%)	ERR1398263	ERR1398263: parent seq. count	ERR1398263: rel. freq. (%)	
"DNA repair, bacterial UmuCD system"	0.0853674365707	0.00375962484424	0.0752121056154	0.00445651193716	0.00314891861121	0.00314891861121	0.0101553309553	0.00432304147282	0.0159876204378		51.91666667	62613.9999989	0.0829154289311	50.73333333	54430.0	0.093208402223	45.4	55126.9999996	0.0823552886976	34.23333333	40585.0000001	0.084349718689	51.91666667	62613.9999989	0.0829154289311	73.61666667	85145.0000002	0.0864603519523	43.28333333	54754.9999992	0.07904909749	42.61666667	52990.9999993	0.0804224616832	22.53333333	32002.0000006	0.0704122658883	43.96666667	62699.0	0.0701233937862	32.65	41133.9999993	0.079374726505	45.63333333	63475.9999994	0.0718906883396	
Glycogen metabolism	0.652902709649	0.0263717156431	0.745133702759	0.0456250703742	0.004453063293	0.004453063293	-0.0922309931097	-0.146571068816	-0.0378909174036		417.6974317	62613.9999989	0.66709910197	323.9777778	54430.0	0.595219139812	363.1306638	55126.9999996	0.65871653419	273.0536186	40585.0000001	0.672794427989	417.6974317	62613.9999989	0.66709910197	558.9666667	85145.0000002	0.656487951963	423.6107504	54754.9999992	0.773647612833	372.9341991	52990.9999993	0.703768940207	235.8016234	32002.0000006	0.736834020985	440.8325758	62699.0	0.703093471666	342.2780886	41133.9999993	0.832105043531	457.8861111	63475.9999994	0.72135312733	
Zinc resistance	0.0907829022224	0.00686823687743	0.0712050566799	0.0106087753916	0.00767132360697	0.00767132360697	0.0195778455424	0.00669275401725	0.0324629370676		60.0	62613.9999989	0.0958252148099	46.0	54430.0	0.084512217527	50.0	55126.9999996	0.090699657156	40.0	40585.0000001	0.0985585807563	60.0	62613.9999989	0.0958252148099	67.5	85145.0000002	0.0792765282751	30.0	54754.9999992	0.0547895169399	36.0	52990.9999993	0.0679360646157	29.0	32002.0000006	0.0906193362898	45.0	62699.0	0.071771479609	28.0	41133.9999993	0.0680702095602	47.0	63475.9999994	0.0740437330652	
Entner-Doudoroff Pathway	0.529192571901	0.0207123203661	0.599176772774	0.0387609645567	0.00797045678513	0.00797045678513	-0.0699842008731	-0.115680844162	-0.0242875575842		320.6888278	62613.9999989	0.512167930184	295.0753968	54430.0	0.542119046114	293.2676587	55126.9999996	0.531985521981	206.8301587	40585.0000001	0.509622172477	320.6888278	62613.9999989	0.512167930184	482.8511905	85145.0000002	0.567092830464	355.9706349	54754.9999992	0.650115304366	313.4547619	52990.9999993	0.591524526626	195.2261905	32002.0000006	0.610043717569	378.5642857	62699.0	0.603780420262	214.8785714	41133.9999993	0.522386763757	391.7801587	63475.9999994	0.617209904064	
Bacterial Cytoskeleton	0.357679731457	0.0154366145228	0.389974107934	0.0189740631769	0.0150977768331	0.0150977768331	-0.0322943764776	-0.0568053437566	-0.00778340919856		228.2873737	62613.9999989	0.364594777053	196.9095238	54430.0	0.361766532794	199.9524933	55126.9999996	0.362712451796	131.3027639	40585.0000001	0.323525351484	228.2873737	62613.9999989	0.364594777053	314.0867063	85145.0000002	0.36888449856	219.8920458	54754.9999992	0.401592632277	193.5844988	52990.9999993	0.365315806085	125.7626374	32002.0000006	0.392983680388	228.0143939	62699.0	0.363665120496	170.0542541	41133.9999993	0.413415311185	255.7270924	63475.9999994	0.402872097174	
MLST	0.00865447853603	0.00287274451365	0.003915200932	0.0021116907651	0.0153100924058	0.0153100924058	0.00473927760403	0.00114319045171	0.00833536475635		6.293589744	62613.9999989	0.0100514098191	5.5	54430.0	0.0101047216608	6.392857143	55126.9999996	0.0115965990223	2.916666667	40585.0000001	0.00718656318097	6.293589744	62613.9999989	0.0100514098191	2.5	85145.0000002	0.00293616771389	2.642857143	54754.9999992	0.00482669554021	3.0	52990.9999993	0.00566133871797	0.0	32002.0000006	0.0	3.75	62699.0	0.00598095663408	0.944444444	41133.9999993	0.00229601897218	3.0	63475.9999994	0.00472619572756	
Peptidoglycan biosynthesis--gjo	0.179929149471	0.0112842723304	0.200802553491	0.0119419033921	0.0175766302601	0.0175766302601	-0.0208734040203	-0.0372522191977	-0.00449458884298		111.2354729	62613.9999989	0.177652718085	95.21785714	54430.0	0.174936353371	96.20590243	55126.9999996	0.174516847336	83.01582307	40585.0000001	0.204548042552	111.2354729	62613.9999989	0.177652718085	144.9748737	85145.0000002	0.170268217393	113.3140693	54754.9999992	0.206947437315	102.827417	52990.9999993	0.19404694571	67.46349206	32002.0000006	0.210810237044	117.9664141	62699.0	0.188147201869	89.81515152	41133.9999993	0.218347720916	118.3927553	63475.9999994	0.186515778091	
CBSS-350688.3.peg.1509	0.168908374399	0.0277224392735	0.121508559042	0.0256582049023	0.0187068507212	0.0187068507212	0.0473998153573	0.00972928641051	0.0850703443041		104.2	62613.9999989	0.166416456387	118.1166667	54430.0	0.21700655282	82.23333333	55126.9999996	0.149170702796	52.24801587	40585.0000001	0.128737257287	104.2	62613.9999989	0.166416456387	158.1166667	85145.0000002	0.185702820717	80.48333333	54754.9999992	0.146988098496	77.86666667	52990.9999993	0.146943191619	28.7	32002.0000006	0.0896818948799	90.16666667	62699.0	0.143808779518	36.53968254	41133.9999993	0.0888308517057	71.6	63475.9999994	0.112798538031	
"Nicotinate catabolism, anaerobic"	0.033918332393	0.00701699620979	0.0192518100007	0.00925449780849	0.0192686239174	0.0192686239174	0.0146665223924	0.00297843930491	0.0263546054798		16.0	62613.9999989	0.025553390616	23.0	54430.0	0.0422561087635	22.83333333	55126.9999996	0.0414195100952	15.5	40585.0000001	0.0381914500431	16.0	62613.9999989	0.025553390616	26.0	85145.0000002	0.0305361442245	17.0	54754.9999992	0.0310473929326	13.5	52990.9999993	0.0254760242309	3.5	32002.0000006	0.0109368164488	15.0	62699.0	0.0239238265363	1.5	41133.9999993	0.0036466183693	13.0	63475.9999994	0.0204801814861	
Accessory colonization factor	0.00967775427973	0.00625075188655	0.000465156338714	0.000665982272821	0.0213128018991	0.0213128018991	0.00921259794102	0.00203404865783	0.0163911472242		9.0	62613.9999989	0.0143737822215	1.0	54430.0	0.00183722212015	7.0	55126.9999996	0.0126979520018	6.0	40585.0000001	0.0147837871134	9.0	62613.9999989	0.0143737822215	0.0	85145.0000002	0.0	0.0	54754.9999992	0.0	0.0	52990.9999993	0.0	0.0	32002.0000006	0.0	0.0	62699.0	0.0	0.5	41133.9999993	0.00121553945643	1.0	63475.9999994	0.00157539857585	
Cobalamin	0.285868312675	0.0303462335405	0.329915153678	0.00951689551716	0.021320362497	0.021320362497	-0.0440468410033	-0.0788858260721	-0.00920785593439		170.1011905	62613.9999989	0.271666385318	128.9261905	54430.0	0.236866049054	169.2333333	55126.9999996	0.306988106193	134.9833333	40585.0000001	0.332594143895	170.1011905	62613.9999989	0.271666385318	251.5428571	85145.0000002	0.295428806271	180.0678571	54754.9999992	0.328861030231	173.2333333	52990.9999993	0.326910859018	104.5095238	32002.0000006	0.326571851128	196.9166667	62699.0	0.314066678416	140.7242424	41133.9999993	0.342111738227	216.4333333	63475.9999994	0.340968765048	
tRNA processing	0.317219480405	0.0120261680272	0.291836719848	0.0168764301337	0.0228060909259	0.0228060909259	0.0253827605569	0.00443106191414	0.0463344591997		198.4261905	62613.9999989	0.316903872143	185.7011905	54430.0	0.341174334925	166.0428571	55126.9999996	0.301200604243	126.3333333	40585.0000001	0.311280850806	198.4261905	62613.9999989	0.316903872143	268.9333333	85145.0000002	0.31585334817	158.2928571	54754.9999992	0.289092972518	156.15	52990.9999993	0.29467268027	84.61666667	32002.0000006	0.264410557679	201.9833333	62699.0	0.322147615273	118.2	41133.9999993	0.287353527501	186.202381	63475.9999994	0.293342965848	
Gram Positive Competence	0.00123964088203	0.000599118026996	0.000262566429309	0.000587116384544	0.0262930241194	0.0262930241194	0.000977074452718	0.000141165271266	0.00181298363417		1.0	62613.9999989	0.0015970869135	1.0	54430.0	0.00183722212015	0.0	55126.9999996	0.0	0.5	40585.0000001	0.00123198225945	1.0	62613.9999989	0.0015970869135	1.0	85145.0000002	0.00117446708556	0.0	54754.9999992	0.0	0.0	52990.9999993	0.0	0.0	32002.0000006	0.0	0.0	62699.0	0.0	0.0	41133.9999993	0.0	1.0	63475.9999994	0.00157539857585	
Polyadenylation bacterial	0.192564894789	0.0135715048891	0.171185352478	0.0127595514956	0.0281414428503	0.0281414428503	0.0213795423108	0.00280832192532	0.0399507626963		121.6666667	62613.9999989	0.194312241196	116.75	54430.0	0.214495682528	97.97626263	55126.9999996	0.177728268599	70.69761905	40585.0000001	0.17419642491	121.6666667	62613.9999989	0.194312241196	170.5833333	85145.0000002	0.200344510305	85.10833333	54754.9999992	0.15543481569	87.42619048	52990.9999993	0.164983092376	53.42619048	32002.0000006	0.166946411096	122.3333333	62699.0	0.195112096365	68.01263736	41133.9999993	0.165344088494	113.8071429	63475.9999994	0.179291610847	
