Subsystem 2	ERR1398068	ERR1398076	ERR1398077	ERR1398085	ERR1398168	ERR1398221	ERR1398078	ERR1398089	ERR1398129	ERR1398206	ERR1398257	ERR1398263
 Bacterial checkpoint control	0	0	1	1	0	2	2	0	2	1	2	0
 Tartronate-semialdehyde related area (links to pyridoxine and aldorate metabolism)	0	1.333333333	2.583333333	0	0	0	0	2.083333333	0	2	0	2.583333333
-	12999.66786	10986.88807	11972.1862	9124.037542	12999.66786	17634.05519	11806.27934	11259.38516	6674.377241	13156.20576	9196.208029	14095.58684
"A bicyclomycin resistance protein, a helicase, and a pseudouridine synthase"	2.333333333	12	4	1	2.333333333	0	1	10	0	3	3	2.5
ABC transporters	642.2428571	726.1666667	575.9	388.1583333	642.2428571	856.5333333	632.2	594.3333333	439.6666667	608.0214286	417.8809524	630.1
ATP synthases	468.1	375	423	305.5	468.1	656.5	399.25	411	304	509.5	317.2	501.6833333
Acid stress	1	0	2	1	1	0	3	2	3	0	3	4
Adhesion	95.1	106	109.0714286	61.16666667	95.1	78	83.5	99.07692308	46.5	64	78.57692308	83.57692308
"Alanine, serine, and glycine"	396.5483877	425.090873	347.4721723	241.9443945	396.5483877	584.372132	344.437482	346.6746392	250.1130952	399.9275253	224.8517316	363.4279867
Aminosugars	279.3556999	204.9888889	297.2512266	278.1116522	279.3556999	453.5730159	267.6756716	242.3038684	184.2460678	320.747619	226.5466533	361.611372
Anaerobic degradation of aromatic compounds	19.20192308	4	17	9	19.20192308	16	7	21.5	3	10.2	6.111111111	9.166666667
Arabinose	1	0	0	0	1	1	0	0	0	1	0	0
"Arginine; urea cycle, polyamines"	817.1583333	726.8761905	715.4205128	474.4539683	817.1583333	1049.916667	661.9955128	770.2928571	420.7252747	772.8333333	576.9159674	839.5833333
Aromatic amino acids and derivatives	653.3041667	584.752381	594.7095238	397.9958333	653.3041667	959.5595238	570.252381	591.7	358.9236111	709.1119048	478.6666667	675.0670996
"Bacterial cytostatics, differentiation factors and antibiotics"	3.25	0	0	0	3.25	1	0	0	0	0	0	0
"Bacteriocins, ribosomally synthesized antibacterial peptides"	67.30952381	64.06904762	58.78888889	60	67.30952381	91.03333333	66.41666667	67.11666667	37.31666667	74.81666667	68.16666667	68.92619048
Bacteriophage integration/excision/lysogeny	38	9	21	41	38	20	15	17.5	15	15	28	28
Bacteriophage structural proteins	18.5	11.5	13	8.5	18.5	7	4	8.5	5.5	6	5	8.5
Biologically active compounds in metazoan cell defence and differentiation	19.6	11.66666667	18.45833333	19.11428571	19.6	35.9	15.36025641	9.166666667	6.5	25.26666667	11.33333333	29.47424242
Biosynthesis of galactoglycans and related lipopolysacharides	128.7742424	98.61666667	133.4519231	165.1297619	128.7742424	217.125	142.0333333	99.24358974	82.70952381	190.9583333	114.0844988	209.3583333
Biosynthesis of phenylpropanoids	5.166666667	6	2.333333333	0.333333333	5.166666667	2	2.25	4.333333333	1	4	2.333333333	3
Biotin	300.7142247	274.8050727	290.7280886	203.7909091	300.7142247	456.8384921	295.0847985	265.4444444	156.4076331	411.1227273	243.4334055	381.7718615
Branched-chain amino acids	582.2835859	484.5606893	524.061483	337.1032468	582.2835859	674.8916667	547.5610501	473.9276557	307.6754079	503.5663059	342.1507937	556.3913781
CO2 fixation	175.0099567	205.8448773	163.2654762	119.6849567	175.0099567	299.3333333	151.4428571	156.9666667	106.0357143	181.8674603	89.84285714	166.8305556
CRISPRs and associated hypotheticals	13.33333333	3	3.5	9.5	13.33333333	0.5	2.5	5	0.090909091	0.5	3.5	1
CRISPs	126.35	84	113.625	99.78333333	126.35	104.8333333	121.5	59	58.51515152	118.5	88.73333333	121.5583333
Capsular and extracellular polysacchrides	1164.952056	873.9333333	990.2876374	923.9404762	1164.952056	1497.328968	1046.517796	887.033547	566.8892857	1147.914286	876.475913	1194.863925
Carotenoid biosynthesis	2.517857143	2.033333333	2.583333333	1.783333333	2.517857143	2.892857143	1.908333333	3	1.083333333	1.583333333	1.5	1.566666667
Catabolism of an unknown compound	0	0	0	0	0	0	1	0	0	0	0	1
Cell Division	300.8920024	238.4166667	199.9848596	166.077356	300.8920024	415.5027778	222.1166667	190.1682651	116.3440476	281.641342	173.2714646	271.3778499
Central carbohydrate metabolism	2076.537804	1914.237953	1754.590188	1181.212646	2076.537804	2982.283135	1864.70409	1816.118723	1045.38303	2184.899603	1242.688718	2144.557753
"Chemotaxis, response regulators"	0	1	0	0	0	0	0	0	0	0	0	0
"Choline bitartrate degradation, putative"	1.333333333	2	7	0	1.333333333	0	0	0	0	1	2.333333333	1
Chromosome Replication	3.25	9	6	2.333333333	3.25	1	4	10	0	2	1	2
Coenzyme A	335.2833333	330.15	298	196.6166667	335.2833333	502.25	329.0833333	322.25	158.5833333	384.75	217.8333333	314.1666667
Coenzyme F420	5	2	5	2	5	4	1	1	1	3	1	5
Cold shock	9	3	7	15	9	8	10	6	4	6	10	14
Cytochrome biogenesis	30.75	32.33333333	35.5	19.16666667	30.75	31.58333333	34.75	32	14.53333333	29.5	19	28.83333333
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	9.25	3.583333333	8.666666667	22.25	9.25	17.36666667	11.75	10.75	4.25	11.16666667	18.2	15.91666667
DNA metabolism	0	3.333333333	1.333333333	0.5	0	0	2	1.166666667	0	1.033333333	0.333333333	0.333333333
